nnr002,0.853585657370518,0.616093,0.685950,0.578947,0.416667,0.553571,0.745598,0.761468,0.785714,0.833333,0.709924,0.214572,0.267157,0.093960,0.098361,0.092842,
nnr005,0.8462815405046481,0.477435,0.561983,0.157895,0.416667,0.446429,0.830579,0.772727,0.750000,0.909091,0.721154,0.149268,0.215686,0.026846,0.090164,0.073707,
nnr006,0.8185922974767597,0.806413,0.776860,0.736842,0.583333,0.696429,0.595614,0.671429,0.736842,0.736842,0.573529,0.351581,0.343137,0.127517,0.155738,0.144578,
nnr007,0.8342629482071713,0.553741,0.628099,0.421053,0.500000,0.494048,0.711832,0.672566,0.800000,0.923077,0.648437,0.202005,0.276961,0.067114,0.106557,0.090716,
nnr008,0.8399734395750332,0.752969,0.768595,0.526316,0.583333,0.672619,0.650256,0.709924,0.769231,0.875000,0.620879,0.300694,0.321078,0.087248,0.131148,0.128987,
nnr009,0.8416334661354582,0.687055,0.776860,0.473684,0.541667,0.642857,0.677202,0.652778,0.692308,0.866667,0.627907,0.263454,0.352941,0.087248,0.122951,0.121899,
pr002,0.8407038512616202,0.489905,0.173554,0.105263,0.208333,0.214286,0.802139,0.875000,0.666667,1.000000,0.947368,0.158597,0.058824,0.020134,0.040984,0.026931,
r001,0.8527888446215139,0.603325,0.661157,0.368421,0.500000,0.494048,0.753150,0.761905,0.777778,0.857143,0.697479,0.208019,0.257353,0.060403,0.114754,0.084337,
r002,0.7737051792828685,0.084620,0.033058,0.000000,0.041667,0.017857,1.0,0.8,0.0,1.0,1.0,0.021974,0.012255,0.000000,0.008197,0.002126,
r003,0.8531208499335989,0.650831,0.727273,0.736842,0.500000,0.678571,0.730180,0.698413,0.777778,0.857143,0.593750,0.231457,0.308824,0.120805,0.114754,0.136074,
r004,0.8436254980079682,0.543349,0.636364,0.473684,0.541667,0.446429,0.756824,0.675439,0.818182,0.866667,0.714286,0.186430,0.279412,0.073826,0.122951,0.074415,
r005,0.8193891102257637,0.331651,0.049587,0.000000,0.041667,0.017857,0.884402,0.857143,0.000000,1.000000,1.000000,0.097379,0.017157,0.000000,0.008197,0.002126,
r006,0.8185258964143426,0.788895,0.090909,0.052632,0.041667,0.029762,0.608845,0.916667,1.000000,1.000000,1.000000,0.336469,0.029412,0.006711,0.008197,0.003544,
r007,0.8335325365205843,0.730107,0.239669,0.052632,0.041667,0.023810,0.654163,0.966667,1.000000,1.000000,1.000000,0.289823,0.073529,0.006711,0.008197,0.002835,
r008,0.796480743691899,0.853622,0.090909,0.052632,0.041667,0.071429,0.559447,0.916667,1.000000,1.000000,1.000000,0.396222,0.029412,0.006711,0.008197,0.008505,
r009,0.8407702523240372,0.570962,0.132231,0.052632,0.041667,0.166667,0.742758,0.941176,1.000000,1.000000,1.000000,0.199614,0.041667,0.006711,0.008197,0.019844,
r010,0.7543160690571049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
r011,0.7543160690571049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
